,ARTIST,ALBUM TITLE,Box #,Notes,Double,Type of Double
2090,"Baez, Joan",Here's To Life,,Record and case missing. (not recorded),,
2091,Roxy Music,Stranded,,,,
2093,"West, Bruce And Laing",Live 'n' Kickin',,,,
2099,Seals & Crofts,Unborn Child,,,,
2100,Bread,The Best Of Bread Vol.2,,,,
2101,"Sutherland Brothers And Quiver, Th",Dream Kid,,,,
2102,Procol Harum,Exotic Birds And Fruit,,,,
2103,"Berry, Chuck",Golden Decade Vol.3,,,X,1/2
2104,Poco,Self Titled,,,,
2105,"Cale, J.J.",Okie,,,,
2106,Time Of The Zombies,Self Titled,,,X,1/2
2107,"Diamond, Neil",His Twelve Greatest Hits,,,,
2108,Renaissance,Turn Of The Cards,,,,
2109,Genesis,Genesis Live,,,,
2110,Steeleye Span,Now We Are Six,,,,
2111,Premiata Forneria Marconi,The World Became The World,,,,
2112,"Guthrie, Arlo",Self Titled,,,,
2113,"Move, The",The Best Of,,,X,1/4
2114,Climax Blues Band,Sense Of Direction,,,,
2115,"Coolidge, Rita",Fall Into Spring,,,,
2116,"Rivers, Johnny",Road,,,,
2117,"Murphey, Michael",Michael Murphey,,,,
2120,"Austin, Phil",Roller Maidens From Outer Space,,,,
2121,"Young, Jesse Colin",Light Shine,,NEEDS FIXING (was recorded on 45rpm; chipmunk effect),,
2122,Mott The Hoople,Rock And Roll Queen,,,,
2123,"Hollies, The",The Hollies,,,,
2125,Sha Na Na,Hot Sox,,,,
2127,Queen,Queen II,,,,
2128,"Mason, Dave",The Best Of Dave Mason,,,,
2130,Argent,Nexus,,,,
2132,Badger,White Lady,,,,
2133,Arthur Brown's Kingdom Come,Journey,,Record and case missing. (not recorded),,
2134,"Wyman, Bill",Monkey Grip,,,,
2135,"Russell, Leon",Stop All That Jazz,,,,
2136,New York Dolls,"Too Much, Too Soon",,,,
2137,"Bee Gees, The",Mr. Natural,,,,
2139,"Trower, Robin",Bridge Of Sighs,,,,
2140,"Supremes, The",Anthology,,,XX,"1/6, 2/5, 3/4"
2141,"Moore, Tim",Tim Moore,,first half NEEDS FIXING (was recorded on 45rpm; chipmunk effect),,
2143,Osborne Brothers,Fastest Grass Alive,,,,
2148,Isis,Isis,,,,
2150,Ross,Ross,,,,
2152,"Torrance, Richard",Eureka,,,,
2155,"Hodge, Bob ""Catfish""",Dinosaus And Alley Cats,,,,
2159,Tangerine Dream,Phaedra,,,,
2160,Isley Brothers,Doin' Their Thing,,,,
2164,"Hunter, Robert",Tales Of The Great Rum Runners,,,,
2165,"Jagger, Chris","The Adventures Of Valentine Vox, T",,,,
2166,"Young, Neil",On The Beach,,,,
2167,"Garcia, Jerry",Garcia (Compliments Of),,,,
2168,"Scaggs, Boz",Boz Scaggs,,,,
2169,"Bland, Bobby",Dreamer,,,,
2170,Santana,Greatest Hits,,,,
2171,Sly And The Family Stone,Small Talk,,,,
2173,Uriah Heep,Wonderworld,,,,
2174,Three Man Army,Three Man Army Two,,,,
2175,Focus,Hamburger Concerto,,,,
2176,War,Radio Free War,,,,
2177,"Lightfoot, Gordon",The Very Best Of Gordon Lightfoot,,2177 was included in the cover; unsure what it's title is 2177-2 reflects the spreadsheet data,X,"1/2, 1/2"
2179,Triumvirat,Illusions On A Double Dimple,,,,
2181,"Beach Boys, The",Endless Summer,,,,
2182,"Beach Boys, The",Wild Honey & 20/20,,"Wild Honey first, Surf's Up second",X,
2183,T Rex,Light Of Live,,,,
2184,Jobriath,Creatures Of The Street,,Record and case missing. (not recorded),,
2187,"Chapin, Harry",Verities And Balderdash,,,,
2188,"Earth, Wind & Fire",Another Time ,,,X,1/2
2189,Little Feat,Feats Don't Fail Me Now,,,,
2192,"Blood, Sweat and Tears",Mirror Image,,,,
2193,"Wonder, Stevie",Fulfillingness' First Finale,,,,
2194,"Gallagher, Rory",Irish Tour '74,,,X,1/2
2195,Hydra,Hydra,,,,
2196,"Auger, Brian",Genesis,,,,
2197,"Fahey, John and Peter Lang and Leo",John Fahey/Peter Lang/Leo Kottke,,,,
2198,"Commodores, The",Machine Gun,,,,
2199,Man,"Rhinos, Winos, And Lunatics",,,,
2202,"Godz, The",Pass On This Side,,,,
2204,"Ross, Diana",Diana Ross Live,,,,
2205,"Vannelli, Gino",Powerful People,,,,
2206,Blue Swede,Hooked On A Feelin',,,,
2209,"Tolonen, Jukka",Tolonen!,,,,
2211,"Gross, Henry",Henry Gross,,,,
2213,Good Rats,Tasty,,,,
2215,"James, Bob And Earl Klugh",One On One,,,,
2219,"Thomas, Ian",Long Long Way,,,,
2220,Grinderswitch,Honest To Goodness,,,,
2223,"Waldman, Wendy",Gypsy Symphony,,,,
2224,"Williams, Mentor",Feelings,,,,
2225,Carlson Rob With Jon Gaimor,Peaceable Kingdom,,,,
2226,Snafu,Snafu,,,,
2227,Cockney Rebel,The Human Menagerie,,,,
2228,"Nunnery, Stu",Stu Nunnery,,,,
2229,"Roberts, Rick",She Is A Song,,,,
2230,"Crosby, Stills, Nash, And Young",So Far,,,,
2232,James Gang,Miami,,,,
2233,Pointer Sisters,Live At The Opera House,,,X,1/4
2235,"Emerson, Lake & Palmer","Welcome Back, My Friends, To The S",,,XX,"1/6, 2/5, 3/4"
2236,"Rush, Tom",Ladies Love Outlaws,,,,
2237,"Fisher, Matthew",I'll Be There,,,,
2241,Heartsfield,Heartsfield,,,,
2242,"Chinnock, Bill",Blues,,,,
2245,"Werner, Dave",Whizz Kid,,,,
2249,Rufus,Rags To Rufus,,,,
2250,Steppenwolf,Slow Flux,,,,
2251,Bonzo Dog Band,History Of The Bonzos,,,X,1/4
2252,Hawkwind,Hall Of The Mountain Grill,,,,
2255,Isley Brothers,Live It Up,,,,
2256,"Mcguinn, Roger",Peace On You,,,,
2257,Chicago,Chicago,,,X,1/2
2258,"Turner, Tina",Tina Turns The Country On,,,,
2259,"Sylvester, Terry",Terry Sylvester,,,,
2260,"Denver, John",Back Home Again,,,,
2261,Kansas,Kansas,,,,
2262,"Guess Who, The",Road Food,,,,
2263,"Nilsson, Harry",Pussy Cats,,,,
2264,Marthe Reeves And The Vandellas,Anthology,,,X,1/4
2265,Four Tops,Anthology,,,XX,"1/6, 2/5, 3/4"
2266,"Nelson, Tracy",Tracy Nelson,,,,
2267,"Hargrove, Linda",Blue Jean Country Queen,,,,
2268,"King, Carole",Wrap Around Joy,,,,
2269,"Preston, Billy",The Kids And Me,,,,
2272,Sparks,Kimono My House,,,,
2274,Bad Company,Bad Company,,,,
2275,Jorma Kaukonen With Tom Hobson,Quah,,,,
2277,"Mandel, Harvey",Feel The Sound,,,,
2278,"Persuasions, The",More Than Before,,Record and case missing (not recorded),,
2279,Barclay James Harvest,Everyone Is Everybody Else,,,,
2281,"Mayall, John",The Latest Edition,,,,
2282,Lighthouse,Good Day,,,,
2283,"Jennings, Waylon",The Ramblin' Man,,,,
2284,Genesis,From Genesis to Revelation,,,,
2285,Traffic,When The Eagle Flies,,,,
2286,Vigrass And Osborne,Steppin' Out,,,,
2287,"Whitlock, Bobby",One Of A Kind,,,,
2288,"Dylan, Bob","Dylan, Bob",,,,
2290,"Berry, Wayne",Home At Last,,,,
2292,"Winchester, Jesse",Learn To Love It,,,,
2284,Siegel/Schwall,R.I.P.,,,,
2295,New York City,Soulful Road,,Record and case missing (not recorded),,
2296,"Cocker, Joe",I Can Stand A Little Rain,,,,
2297,Nazareth,Rampant,,,,
2298,"Flying Burrito Brothers, The",Close Up The Honky Tonks,,,X,1/4
2299,Nutz,Nutz,,,,
2300,"Wakeman, Rick",Journey To The Center Of The Earth,,,,
2301,Nektar,Remember The Future,,,,
2302,Bachman-Turner Overdrive,Not Fragile,,,,
2303,Unicorn,Blue Pine Trees,,,,
2304,Asleep At The Wheel,Asleep At The Wheel,,,,
2306,"Merryweather, Neil",Space Rangers,,,,
2307,Lindisfarne,Happy Daze,,,,
2310,Foghat,Rock And Roll Outlaws,,,,
2311,Gentle Giant,The Power And The Glory,,,,
2312,"Browne, Jackson",Late For The Sky,,,,
2313,Brewer & Shipley,St-11261,,,,
2314,"Raitt, Bonnie",Streetlights,,,,
2315,Fleetwood Mac,Heroes Are Hard To Find,,Hard intro to side 1,,
2316,Steppenwolf,At Your Birthday Party,,,,
2317,"Croce, Jim",Photographs And Memories : His Gre,,,,
2318,Headstone,Bad Habits,,,,
2319,"Walsh, Joe",Barnstorm,,,,
2320,"Havens, Richie",Mixed Bag Ii,,,,
2321,"Jans, Tom",Tom Jans,,,,
2322,"Moody Blues, The",Go Now,,,,
2323,Redbone,Beaded Dreams Through Turquoise Ey,,,,
2325,Amboy Dukes,"Tooth, Fang, And Claw",,,,
2326,Eloy,Inside,,,,
2327,Rockville Junction,Protect Me From My Friends,,,,
2328,"Hooker, John Lee",Free Beer And Chicken,,,,
2329,"Sebastian, John",Tarzana Kid,,,,
2330,"Wood, Ron",I've Got My Own Album To Do,,,,
2335,"Hamill, Claire",Stage Door Johnnies,,,,
2336,Electric Light Orchestra,Eldorado,,,,
2338,"Zappa, Frank",Roxy And Elsewhere,,,X,1/4
2340,Jefferson Starship,Dragon Fly,,,,
2341,"Mahal, Taj",Mo' Roots,,,,
2342,"Lamm, Robert",Skinny Boy,,,,
2343,Poco,Deliverin',,,,
2344,Poco,Pickin' Up The Pieces,,,,
2345,"Mason, Dave","Mason, Dave",,,,
2346,"Preston, Don",Been Here All The Time,,,,
2347,"Cavaliere, Felix",Felix Cavaliere,,,,
2352,Santana,Illuminations,,,,
2353,10cc,Sheet Music,,,,
2354,Bobby Bland And B. B. King,Together for the First Time…Live,,,X,1/4
2355,Bobby Bland And B. B. King,Together Again. Live,,,,
2356,"Who, The",Odds And Sods,,,,
2357,"Bowie, David",David Live (David Bowie at the Tow,,,X,1/4
2358,J. Geils Band,Nightmares,,,,
2359,Camel,Mirage,,,,
2362,"Stewart, Rod",Smiler,,,,
2363,Santana,Borboletta,,,,
2364,Hall And Oates,War Babies,,,,
2365,"Diamond, Neil",Serenade,,,,
2368,"Nash, Johnny",Celebrate Life,,DONE RECORDING.,,
2370,Hatfield And The North,Hatfield And The North,,,,
2372,"Miles, Buddy",All The Faces Of Buddy Miles,,Record and case missing (not recorded),,
2373,Splinter,The Place I Love,,,,
2374,"Shankar, Ravi",Shankar Family And Friends,,,,
2375,"Hendrix, Jimi",The Genius Of Jimi Hendrix,,,,
2376,"Clapton, Eric",461 Ocean Blvd.,,Big chip taken out of first 2 tracks,,
2377,Cecilio And Kapono,Cecilio And Kapono,,,,
2378,"Joel, Billy",Street Life Serenade,,,,
2379,Loggins & Messina,Motherlode,,,,
2380,Rolling Stones,It's Only Rock'n'roll,,,,
2381,Leviathan,Leviathan,,,,
2382,"Morrison, Van",Veedon Fleece,,,,
2383,Jethro Tull,War Child,,,,
2384,Badfinger,Wish You Were Here,,,,
2385,Sensational Alex Harvey Band,The Impossible Dream,,,,
2386,"Mclean, Don",Homeless Brother,,,,
2387,"Rundgren, Todd",Utopia,,,,
2388,Jan And Dean,Gotta Take That One Last Ride,,,X,1/2
2391,Supertramp,Crime Of The Century,,,,
2392,"Winter, Johnny",Second Winter,,"Only one side on the 2nd record. (1, 2, and 3 total)",X,"1/2, 3"
2393,Fanny,Rock'n'roll Survivors,,,,
2394,New Riders Of The Purple Sage,Brujo,,,,
2395,Black Oak Arkansas,Early Times,,,,
2396,"Walker, Jerry Jeff",Walkers Collectibles,,,,
2397,"Mann, Manfred",The Good Earth,,Record and case missing (not recorded),,
2398,"Beach Boys, The",Friends / Smiley Smile,,,X,"1/2, 1/2"
2399,"Muldaur, Maria",Waitress In A Donut Shop,,,,
2400,Trapeze,Hot Wire,,,,
2403,"Stone, Sly",High On You,,,,
2404,Hello People,The Handsome Devils,,,,
2405,Kiki Dee Band,I've Got The Music In Me,,,,
2406,Firesign Theatre,Everything You Know Is Wrong,,,,
2407,"John, Elton",Caribou,,,,
2408,"Allmann, Gregg",The Gregg Allman Tour,,,X,1/4
2409,"Lennon, John",Walls And Bridges,,,,
2410,Kiss,Kiss,,,,
2411,Captain Beefheart & His Magic Band,Strictly Personal,,,,
2412,Dan Hicks And His Hot Licks,Striking It Rich,,,,
2413,Various,Easy Rider (Soundtrack),,,,
2414,King Crimson,Red,,,,
2415,Goose Creek Symphony,"Do Your Thing, But Don't Touch Min",,,,
2416,Captain Beefheart & His Magic Band,Blue Jeans And Moonbeams,,,,
2417,Poco,Cantamos,,,,
2418,"Phillips, Shawn",Futhermore.,,Track lengths doesn't line up with track listings; unsure why,,
2419,Jo Jo Gunne,So. Where's The Show?,,,,
2420,Greenslade,Spyglass Guest,,,,
2423,"O'sullivan, Gilbert",Stranger In My Own Backyard,,,,
2424,If,Tea-Break Over Back On Your 'eads,,,,
2425,Love Unlimited Orchestra,White Gold,,,,
2426,"Williams, Paul",A Little Bit Of Love,,,,
2427,Fancy,Wild Thing,,not photographed,,
2428,Ross,The Pit And The Pendulum,,,,
2430,R.E.O. Speedwagon,Lost In A Dream,,,,
2431,Deep Purple,Stormbringer,,,,
2432,"Bruce, Jack",Out Of The Storm,,,,
2434,"Cohen, Leonard",New Skin For The Old Ceremony,,,,
2435,"Bodine, Rita Jean","Bodine, Rita Jean",,,,
2436,Love,Reel To Reel,,,,
2437,"Rhodes, Emitt",Farewell To Paradise,,,,
2438,Hudson Ford,Free Spirit,,,,
2439,Ozark Mountain Daredevils,It'll Shine When It Shines,,,,
2440,Pointer Sisters,That's A Plenty,,,,
2444,"Mayfield, Curtis",Got To Find A Way,,Record and case missing. (not recorded),,
2446,PFM,Cook,,,,
2447,"King, Freddie",Burgular,,,,
2448,Seventh Wave,Things To Come,,,,
2449,"Marshal Tucker Band,The",Where We All Belong,,,X,1/2
2451,"Moody Blues, The",This Is The Moody Blues,,,X,1/2
2455,"Ronstadt, Linda",Hand Sown,,,,
2456,"Ronstadt, Linda",Silk Purse,,,,
2457,Flash,Out Of Our Hands,,,,
2458,"Neil, Fred",Everybody's Talking,,,,
2459,"Kottke, Leo",My Feet Are Smiling,,,,
2460,"Denny, Sandy",Like An Old-Fashioned Waltz,,,,
2463,Badfinger,Ass,,,,
2464,Goose Creek Symphony,Goose Creek Symphony,,,,
2466,"Ayers, Kevin",Bananamour,,,,
2468,"Anderson, Eric","'bout Changes And Things, Take Two",,,,
2470,"Fahey, John",The Yellow Princess,,Record and case missing. (Not recorded),,
2471,"Bull, Sandy",E Pluribus Unum,,,,
2474,"Jansch, Bert",Lucky Thirteen,,,,
2475,"Jansch, Bert",Jack Orion,,,,
2476,Burt Janch And John Rinborn,Stepping Stones,,,,
2477,"Baez, Joan",Baptism,,,,
2478,"Baez, Joan",Any Day Now,,,X,1/2
2479,"Baez, Joan",Joan,,,,
2480,"Baez, Joan",Farewell Angelina,,,,
2481,"Loggins, Dave",Personal Belongings,,,,
2482,Country Joe And The Fish,Here We Are Again,,,,
2483,Country Joe And The Fish,Greatest Hits,,"Not actually a double, just two different albums of the same artist. ""Greatest Hits"" is recorded first. Album front belongs to ""Greatest Hits"" while back belongs to ""Electric Music For The Mind And Body""",X,"1/2, 1/2"
2486,Richard And Mimi Farina,Reflections In A Crystal Wind,,,,
2487,Wizzard,Introducing Eddie And The Falcons,,,,
2489,Donovan,7-Tease,,,,
2490,Horse Lips,Dance Hall Sweet Hearts,,,,
2492,"Winter, John Dawson III",Self Titled,,,,
2493,"Gelespie, Dana",Aint Gonna Play No Second Fiddle,,,,
2494,Brian Auger's Oblivion Express,Live Oblivion,,,,
2495,"Feliciano, Jose",An The Feeling's Good,,,,
2496,"Fogelberg, Dan",Souveniers,,,,
2497,Various,History Of British Rock Vol. 2,,,X,1/2
2499,"Buchanan, Roy",In The Beginning,,,,
2500,"Turtles, The",The Turtles Greatest Hits,,,X,1/2
2501,"Hammond, Albert",Self Titled,,,,
2502,Mott The Hoople,Live,,,,
2503,Argent Encore,Live In Concert,,,X,1/2
2504,Fenton Robinson,Somebody Loan Me a Dime,,,,
2505,"Loggins, Dave",Apprentice In A Musical Workshop,,,,
2506,"Starr, Ringo",Goodnight Vienna,,,,
2508,Queen,Sheer Heart Attack,,,,
2509,"Kottke, Leo",Dreams And All That Stuff,,,,
2510,Joni Mitchell And The LA Express,Miles Of Aisles,,,X,1/2
2511,"Rondstadt, Linda",Heart Like A Wheel,,,,
2513,Yes,Relayer,,,,
2515,"Harrison, George",Dark Horse,,,,
2516,"Walsh, Joe",So What,,,,
2517,Capability Brown,Voice,,,,
2518,Trace,Trace,,,,
2520,"Manilow, Barry",2,,Not actually Barry Manilow. It's a 2/3 album from a double record. (missing side 1/4) -- The Best of Count Basie,,
2521,"Sayer, Leo",Just A Boy,,,,
2522,"Fisk, John",Tales Of The Bayou Country,,,,
2524,"Baker Gurbitz Army, The",Self Titled,,,,
2525,Booker T,Evergreen,,,,
2527,Grand Funk Railroad,All The Girls In The World Beware,,,,
2528,Man,Slow Motion,,,,
2530,"Friedman, Kinky",Self Titled,,,,
2532,Graham Central Station,Release Yourself,,,,
2534,"Carlin, George",Toledo Window Box,,,,
2535,"John, Elton",Greatest Hits,,,,
2536,Three Dog Night,"Joy To The World, Their Greatest H",,,,
2537,Grand Funk Railroad,All The Girls In The World Beware,,,,
2538,"Edwards, Jonathan",Lucky Day,,,,
2540,Floating World,Jade Warrior,,,,
2541,"Eric Burdon Band, The",Sun Secrets,,,,
2542,Gryphon,Red Queen To Gryphon Three,,,,
2544,"Charlie Daniels Band, The",Fire On The Mountain,,,,
2545,Melanie,As I See It Now,,,,
2546,Roxy Music,Country Life,,,,
2547,Mott The Hoople,Mott The Hoople,,,,
2549,Mott The Hoople,Wild Life,,,,
2553,King Crimson,Islands,,,,
2554,"Edwards, Jonathon",Jonathon Edwards,,,,
2555,Dr. John,Gris Gris,,,,
2556,J. Geils Band,Full House,,,,
2557,"Bee Gees, The",To Whom It May Concern,,,,
2559,El Chicano,The Best Of Everything,,,,
2560,Iron Butterfly,Scorching Beauty,,,,
2561,"Arthur, Hurley, And Gottlieb",Sunlight Shining,,,,
2562,"Eden Electronic Ensemble, The",Plugged In Joplin,,,,
2563,Strawbs,From The Witchwood,,,,
2564,"Carlin, George",Fm & Am,,,,
2565,"Michaels, Lee",Lee Michaels,,,,
2567,"Stevens, Cat",Buddha And The Chocolate Box,,,,
2568,"Denny, Sandy",The North Star Grassman And The Ra,,,,
2569,Fairport Convention,Nine,,,,
2570,Fairport Convention,Fairport Convention,,,,
2571,Fairport Convention,Liege & Lief,,,,
2572,Fairport Convention,Unhalfbricking,,,,
2578,"Murphey, Michael",Blue Sky Night Thunder,,,,
2579,"Berry, Chuck",Chuck Berry,,,,
2580,"Mandel, Harvey",The Best Of,,,,
2582,"Gates, David",Never Let Her Go,,,,
2583,"Guess Who, The",Flavours,,,,
2584,"Buffett, Jimmy",A1A,,,,
2586,"Gallagher, Rory",Sinner.And Saint,,,,
2587,Elf,LA/59,,,,
2589,"Ferry, Brian",Another Time Another Place,,,,
2592,Nektar,Down To Earth,,,,
2593,"Eno, Brian",Taking Tiger Mountain By Strategy,,,,
2594,"Cale, John",Fear,,,,
2595,"Elton, John",Empty Sky,,,,
2596,"Otis, Shuggie",Inspiration Information,,,,
2597,Sparks,Propaganda,,,,
2599,Babe Ruth,Babe Ruth,,,,
2601,Ace,Five-A-Side,,,,
2602,"Harley, Steve",The Psychomodo,,,,
2604,Lon & Derrek,Who Do You Out Do,,,,
2605,"Merryweather, Neil",Kryptonite,,,,
2606,Strawbs,Ghost,,,,
2607,"Trower, Robin",For Earth Below,,,,
2609,Bachman-Turner Overdrive,As Brave Belt,,,,
2610,"Bob Seger System, The",Mongrel,,,,
2611,"Lightfoot, Gordon",Cold On The Shoulder,,,,
2613,Wet Willie,Dixie Rock,,,,
2614,"Warwick, Dionne",Then Came You,,,,
2615,Commander Cody And His Lost Planet,Self Titled,,,,
2616,"Denver, John",An Evening With John Denver,,,X,1/4
2617,Stackridge,Pinafore Days,,,,
2618,Thee Image,Self Titled,,,,
2619,Osanna,The Landscape Of Life,,,,
2620,Fleetwood Mac,Vintage Years,,,X,1/2
2621,Pilot,Self Titled,,,,
2622,"King, Carole",Really Rosy,,,,
2623,"Seger, Bob",The Bob Seger System,,,,
2625,"Roussos, Demis",Self Titled,,,,
2627,"Wainwright III, Laudon",Unrequited,,,,
2628,"Stuart, Al",Modern Times,,,,
2630,Blue Oyster Cult,On Your Feet Or On Your Knees,,,X,1/2
2631,"Ian, Janis",Between The Lines,,,,
2632,Silk Torpedo,Pretty Things,,,,
2633,"Omartian, Michael",White Horse,,,,
2634,Amazing Blondel,Malgrave Street,,,,
2636,Nico,The End,,,,
2637,Focus,Dutch Masters,,,,
2638,Steppenwolf,16 Great Performances,,,,
2639,"Entwistle, John",Mad Dog,,,,
2640,Crann,Andy Nogger,,,,
2641,Led Zeppelin,Physical Grafitti,,,X,1/2
2642,Rush,Fly By Night,,,,
2643,"Hollies, The",Another Night,,,,
2644,Kansas,Songs For America,,,,
2645,Yesterdays,Yesterdays,,,,
2646,Journey,Self Titled,,,,
2647,Kool And The Gang,Greatest Hits,,,,
2648,Pavlov's Dog,Pampered Menial,,,,
2649,"Mayall, John","New Year, New Band And New Company",,,,
2650,Melanie,From The Beginning: 12 Great Perfo,,,,
2651,"Cooper, Alice",Welcome To My Nightmare,,DONE RE-RECORDING.,,
2652,"Tucker, Tanya",Greatest Hits,,,,
2654,Argent Circus,Self Titled,,,,
2656,Commodores,Caught In The Act,,Black man's burden recorded first (needs placing in case #517),,
2657,"Lofgren, Nils",Self Titled,,,,
2658,"Collins, Judy",Wild Flowers,,,,
2659,"Mason, Dave",At His Best,,,,
2660,"Incredible String Band, The",The 500 Spirits Or The Layers Of T,,,,
2661,Earth Opera,The Great American Eagle Tragedy,,,,
2663,"Green, Loyd",Steel Ride,,,,
2664,Robert Margouleff And Malcom Cecil,Tanto's Expanding Headbang,,,,
2665,Simon And Garfunkel,Greatest Hits,,,,
2666,Severin Brown,New Improved Severin Brown,,,,
2667,"Clements, Vassar",Self Titled,,,,
2668,Chilliwack,Chilliwack,,,,
2669,"Average White Band, The",Put It Where You Want It,,,,
2670,"Moon, Keith",Two Sides Of The Moon,,,,
2671,"Hendrix, Jimi",Crash Landing,,,,
2672,Les Variations,Café De Paris,,,,
2673,Ambrosia,Ambrosia,,,,
2674,"Young, Jesse Colin",Songbird,,,,
2675,"Reed, Lou",Live,,,,
2676,Nilsson,Duit On Mon Dei,,,,
2677,Golden Earring,Switch,,,,
2678,Grinderswitch,Macon Tracks,,,,
2679,"Bowie, David",Young Americans,,,,
2680,"Hayward, Justin & Lodge, John",Blue Jays,,,,
2681,"Frampton, Peter",Frampton,,,,
2682,"Blue Oyster Cult, The",Tyranny And Mutation,,,,
2683,"Axton, Hoyt",Southbound,,,,
2684,"Baldry, John",Good To Be Alive,,,,
2685,10cc,The Original Soundtrack,,,,
2686,Seals & Crofts,I'll Play For You,,,,
2687,America,Hearts,,,,
2688,Coven,Blood On The Snow,,,,
2689,Steely Dan,Katy Lied,,,,
2690,"Who, The",Tommy,,,X,1/2
2691,"Bell, Maggie",Suicide Sal,,,,
2692,"Toussaint, Allen",Southern Nights,,,,
2693,"Waldman, Wendy",Wendy Waldman,,,,
2694,Kokomo,Kokomo,,,,
2695,"Derringer, Rick",Spring Fever,,,,
2697,Chicago,Chicago,,,,
2698,"Andersen, Eric",Be True To You,,,,
2701,Kiss,Dressed To Kill,,,,
2702,Sugarloaf / Jerry Corbetta,Don't Call Us - We'll Call You,,,,
2704,Status Quo,On The Level,,,,
2705,"Seeger, Bob",Beautiful Loser,,,,
2706,"Robinson, Smokey",A Quiet Storm,,,,
2707,Gladys Knight And The Pips,A Little Knight Music,,,,
2708,Humble Pie,Street Rats,,,,
2709,"Wakeman, Rick",The Myths And Legends Of King Arth,,,,
2711,Santana,Santana,,,,
2713,"Rolling Stones, The",Got Live If You Want To,,,,
2714,"Rolling Stones, The",Between The Buttons,,,,
2715,Aerosmith,Aerosmith,,,,
2716,"Blood, Sweat and Tears",No Sweat,,,,
2717,"Byrds, The",Younger Than Yesterday,,,,
2718,Greenslade,Time And Tide,,,,
2719,National Lampoon,Gold Turkey,,,,
2720,Armageddon,Armageddon,,,,
2721,Sky King,Secret Sauce,,,,
2722,Redbone,Message From A Drum,,,,
2723,"Prine, John",Common Sense,,,,
2724,"Cohen, Leonard",New Skin For The Old Ceremony,,,,
2725,"Cohen, Leonard",Songs From A Room,,,,
2726,"Cohen, Leonard",Songs Of Love And Hate,,,,
2727,"Cohen, Leonard",Songs Of Leonard Cohen,,,,
2728,Nazareth,Hair Of The Dog,,,,
2729,Aerosmith,Toys In The Attic,,,,
2731,"Hunter, Robert",Tiger Rose,,,,
2732,"Rush, Tom",Tom Rush,,,,
2733,"Wainwright III, Laudon",Album Iii,,,,
2734,"Wainwright III, Laudon",Attempted Mustache,,,,
2735,"Quatro, Suzi",Your Mama Won't Like Me,,,,
2736,"Dave Clark Five, The",All Time Greatest Hits,,,X,1/2
2737,"Chapin, Harry",Heads And Tales,,,,
2738,"Buckinghams,The",Made In Chicago,,,X,1/2
2739,Sly And The Family Stone,High Energy,,,X,1/2
2740,Amon Duul II,Hijack,,,,
2741,"Collins, Judy",Judith,,,,
2742,Al's Big Deal,Unclaimed Freight,,,X,1/2
2743,Various,More American Graffiti,,,X,1/4
2744,Lobo,A Cowboy Afraid Of Horses,,,,
2745,Zazu,Zazu,,,,
2747,"Flack, Roberta",Feel Like Makin' Love,,,,
2749,Heartwood,Nothin' Fancy,,,,
2750,"Lennon, John",Rock N' Roll,,,,
2751,"Reddy, Helen",Free And Easy,,,,
2753,Bad Company,Straight Shooter,,,,
2754,"Cale, J.J.",Naturally,,,,
2755,Traffic,Heavy Traffic,,,,
2756,"Quatro, Michael",In Collaboration With The Gods,,,,
2757,"Mahal, Taj",Recycling The Blues And Other Rela,,,,
2758,"Fahey, John",Old Fashioned Love,,,,
2759,"West, Leslie",The Great Fatsby,,,,
2760,Orleans,Let There Be Music,,,,
2761,Eloy-Floating,Eloy-Floating,,,,
2762,Free,Best Of Free,,,,
2763,"Joplin, Janis",Janis,,,X,"1/2, 1/2"
2764,"Blood, Sweat and Tears",New City,,,,
2765,String Driven Thing,Please Mind Your Head,,,,
2766,"Sensational Alex Harvey Band, The",Tomorrow Belongs To Me,,,,
2767,"Young, Neil",Tonight's The Night,,,,
2768,Outlaws,Outlaws,,,,
2769,"John, Elton",Captain Fantastic And The Brown Di,,,,
2770,"Phillips, Shawn",Do You Wonder?,,,,
2771,"Eagles, The",One Of These Nights,,,,
2772,Pablo Cruise,Pablo Cruise,,,,
2774,"Hunter, Ian","Hunter, Ian",,,,
2775,"Bishop, Elvin",Juke Joint Jump,,,,
2776,"Stafford, Jim",Not Just Another Pretty Foot,,,,
2777,"Simon, Carly",Playing Possum,,,,
2778,"Harley, Steve",Cockney Rebel,,,,
2779,Climax Blues Band,Stamp Album,,,,
2780,"Daltrey, Roger",Ride A Rock Horse,,,,
2781,"Doobie Brothers, The",Stampede,,,,
2782,Spirit,Tampa Jam Electro Jam From The Tim,,,X,1/2
2783,"Blackmore, Ritchie",Rainbow,,,,
2785,Loggins & Messina,So Fine,,,,
2786,"Earth, Wind & Fire",That's The Way Of The World,,,,
2787,"Lee, Alvin",Pump Iron,,,,
2788,"Earth, Wind & Fire",Another Time,,Record and case missing (not recorded),,
2790,10cc,10cc,,,,
2791,"Beck, Jeff",Blow By Blow,,,,
2792,Renaissance,Scheherazade And Other Stories,,,,
2793,Flash Cadillac And The Continental,Sons Of The Beaches,,,,
2794,Brownsville Station,Motor City Connection,,,,
2795,Three Dog Night,Coming Down Your Way,,,,
2796,Camel,The Snow Goose,,,,
2797,"Grateful Dead, The",Blues For Allah,,,,
