ID,Artist,Album,Media type,Xfer option,Xfer type,Image #,Total CDs,Date received,Customer notes,Private notes,Track 1,Track 2,Track 3,Track 4,Track 5,Track 6,Track 7,Track 8,Track 9,Track 10,Track 11,Track 12,Track 13,Track 14,Track 15,Track 16,Track 17,Track 18,Track 19,Track 20,Track 21,Track 22,Track 23,Track 24,Track 25,Track 26,Track 27,Track 28
01234-00001,artist1,album1,LP,std,CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01234-00002,artist2,album2,cass,del,mp3,,2,,,,Track 1,Track 2,Track 3,Track 4,,,,,,,,,,,,,,,,,,,,,,,,
01235-00001,artist1,album3,45,,CD,,,,I really like this 45,"Not enough, you don't",,,,,,,,,,,,,,,,,,,,,,,,,,,,
01951-00001,Con Hunley,Ask Any Woman,LP,del,CD,,,12/16/2014,,,He Will Break Your Heart,Don't It Break Your Heart,When It's Over,I'm Back To Putting Up a Front Again,Table For One,Ask Any Woman,Would You Let A Fool Come In,She's Steppin' Out,No Relief In Sight,Tryin' To Love Two,,,,,,,,,,,,,,,,,,
01951-00002,Con Hunley,Don't It Break Your Heart,LP,del,CD,,,12/16/2014,,,It Wasn't Me,What's New With You,They Never Lost You,Someone I Used To Love,I Wanta Wake Up With You,Foolish Feelings,I'm Losing My Life,Too Big For Words,This Ol' Cowboy's Going Home,Don't It Break Your Heart,,,,,,,,,,,,,,,,,,
01951-00003,Con Hunley,Con Hunley,LP,del,CD,,,12/16/2014,,,I've Been Waiting For You All Of My Life,Since I Fell for You,You've Still Got a Place In My Heart,Week-End Friend,Livin' On The Funky Side,That's All That Matters,Let's Try Again,Honky Tonk Heart,I'll Be Blue,Only the Strong Survive,,,,,,,,,,,,,,,,,,
01951-00004,Con Hunley,Oh Girl,LP,del,CD,,,12/16/2014,,,Just Like Old Times,Oh Girl,My Heart Will Know,Confidential,"Stop, You're Killing Me",Ain't No Woman (Like The One I've Got),Tonight I Took Your Memory Off The Wall,It Used To Be Me,She Never Laid Love On Me,I Still Have Dreamin',,,,,,,,,,,,,,,,,,
01951-00005,Con Hunley,I Don't Want To Lose You,LP,del,CD,,,12/16/2014,,,You Lay A Whole Lot of Love On Me,Fire In The Morning,The Loneliness In Me,Straight To My Heart,I Don't Want To Lose You,Lover's Lullaby,Rhythm And Blues,When It Hurts You Most,Lady Got Soul,Take It Easy,,,,,,,,,,,,,,,,,,
01894-00001,Bob Ayala,Joy by Surprise,LP,del,CD,,,12/16/2014,,,"Stephanie, With Love",Do You Know Him?,Try and Keep the Pace,To the Ancient of Days,Peace,Silent Witness,Joy By Surprise,The Song of Joseph,Lord!,New Beginnings,,,,,,,,,,,,,,,,,,
01892-00001,Members of the Richard Hickox Singers and Orchestra,"English Medieval Carols and Christmas Music, Vol. I ???Be Merry???",LP,del,CD,,,12/16/2014,,,"Nowell, nowell: The boares head",Ave Maria,Ave regina celorum (motet),Ave regina celorum (organ),Ah my dear,There is no rose,"Be merry, be merry",Ave regina celorum (plainsong),Ave regina celorum (motet),Ave domina,Instrumental consorts (Henry VIII & Cornish),"Goday, my lord","Marvel not, Joseph",,,,,,,,,,,,,,,
01892-00002,Members of the Richard Hickox Singers and Orchestra,"English Medieval Carols and Christmas Music, Vol. II ???Nowell-Nowell???",LP,del,CD,,,12/16/2014,,,Alma redemptoris mater (motet),Alma redemptoris mater (carol),Of a rose sing we,Instrumental consort (Anon.),Alleluia: A newe work,Chester processional,Sweet Jesus,Nowell sing we,Sub tuam protectionem,Angelus ad virginem,"Ecce, quod natura","Nowell, nowell: Dieu vous garde",,,,,,,,,,,,,,,,
01893-00001,"Wally Scott, his Orchestra and Chorus",Happy Holiday Christmas in High Fidelity,LP,del,CD,,6,12/16/2014,,,Happy Holiday,Wassail Song,Have Yourself a Merry Little Christmas,Christmas Sleigh Bells,Shepherd's Chorus,The Holly and the Ivy,The Christmas Waltz,Away in a Manger,Good King Wenceslas,Snowfall,Silent Night! Holy Night!,White Christmas,,,,,,,,,,,,,,,,
01899-00001,The Choir of St. George's School,"Music From St. George's Chapel, Newport, R. I.",LP,del,CD,,,12/16/2014,,,Once in Royal David's City,The Holly and the Ivy,Of the Father's Love Begotten,Unto Us a Boy Is Born,Adam Lay Ybounden,Good King Wenceslas,The Angel Gabriel,Torches,"Magnificat, with verses in Faux-Bourdon","Nunc Dimittis, with verses in Faux-Bourdon",Let Thy Merciful Ears,Humbly I Adore Thee,Christ to Thee Be Glory,"Give Ear, O Lord",Brother Jame's Air,Kyrie Eleison,The Old Hundredth,,,,,,,,,,,
01849-00001,Maile Aloha Singers,Christmas Aloha,LP,del,CD,,,12/16/2014,,,Ku'u Pahu Nei (Carol of the Drum),Smol Taon (Small Town),Po Hemolele (O Holy Night),Vivii I Le Atua (Praise the Lord),Oshogatsu (New Year's),"Merry Christmas, Darling",Kasadya Ning Takna'a (Joyful Is This Hour),The Twelve Christmas Days,Mary's Boy Chile,Kani Bele E (Carol of the Bells),Enfant Prodigue (Prodigal Child),Santa Claus is Coming to Town,,,,,,,,,,,,,,,,
01845-00001,Julie Andrews and Carol Burnett,Julie and Carol at Carnegie Hall,LP,del,CD,,,12/16/2014,,,No Mozart Tonight,You're So London,Oh Dear What Can The Matter Be,From Russia: The Nausiev Ballet,Meantime,From Switzerland: The Pratt Family,History of Musical Comedy,From Texas: Big ???D???,,,,,,,,,,,,,,,,,,,,
01845-00002,"Lori Edland with Sue Anderson, Jim Winker, Paul Breske, Jack Barnett, and Jeff Bartell",On Stage Tonight Recorded Live at Chula Vista,LP,del,CD,01845-00003,,12/16/2014,Play at 33 1/3 R.P.M. use a 78 R.P.M. needle,,Walkin Happy Comedy,Fiddler Medley,,,,,,,,,,,,,,,,,,,,,,,,,,
01845-00003,"Lori Edland with Sue Anderson, Jim Winker, Paul Breske, Jack Barnett, and Jeff Bartell",On Stage Tonight Recorded Live at Chula Vista,LP,del,CD,,,12/16/2014,Play at 33 1/3 R.P.M. use a 78 R.P.M. needle,,Open Cabaret,Something Better,What Makes Me Love,Belly Up,Once Was a Man,,,,,,,,,,,,,,,,,,,,,,,
01845-00004,"Racine, Wisconsin Elks Youth Band",1959 National Junior Champions,LP,del,CD,,,12/16/2014,,,Ariane - Boyer,Pique Dame - VonSuppe,Espani Cani - Marquina,Toccata for Band - Erickson,His Honor March - Filmore,Block M March - Bilik,Purple Carnival - Filmore,Fiesta Calypso - Myers,Bells Across The Gridiron - Walters,Hands Across The Sea - Sousa,Klaxon - Alford,Grandioso - Seitz,,,,,,,,,,,,,,,,
01845-00005,The Bethel Choirs,Hymns,LP,del,CD,,,12/16/2014,,,"Praise to the Lord, The Almighty",Beneath the Cross of Jesus,Children of the Heavenly Father,"Amazing Grace, How Sweet the Sound",Now All the Vault of Heaven Resounds,Away in a Manger,Crown Him with Many Crowns,Let All Things Now Living,Let Us Break Bread Together,"All Praise to Thee My God, This Night","Oh, Come, Oh, Come, Emmanuel",Lift High The Cross,,,,,,,,,,,,,,,,
01845-00006,Original Cast Recording ??? New York Shakespeare Festival Production,I'm Getting My Act Together And Taking It On The Road,LP,del,CD,,,12/16/2014,,,Natural High,Miss America,Put in a Package and Sold,Smile/Dear Tom,Old Friend,Strong Woman Number,Feel the Love/Lonely Lady,In a Simple Way I Love You,Happy Birthday/Natural High (reprise),,,,,,,,,,,,,,,,,,,
01845-00007,Wisconsin Idea Theatre ??? University of Wisconsin,Hodag!,LP,del,CD,,,12/16/2014,,,Overture,You'll Like Rinelander,What Kind of Man,How Little It Takes,A First Class Citizen,Kentuckian Song,What Sort of Person,Moss Song,Utopia,Two-Way Reprise,Let's Suppose,The Most Fabulous Boat in the World,Things Are Looking Up,Finale - Act I,Who Wears The Pants,Say No More,Ensemble,Hodag!,Finale,Exit Music,,,,,,,,
01835-00001,Various,A Child's Christmas,LP,del,CD,,,12/16/2014,,,Twas the Night Before Christmas (Art Carney),"Rudolph, The Red-Nosed Reindeer (Gene Autry)",Parade of Wooden Soldiers (Ray Heatherton ??? Columbia Playtime Orchestra),(I'm Gettin') Nuttin' For Christmas (Ricky Zahnd and The Blue Jeaners),The Twelve Days of Christmas (Burl Ives ??? Percy Faith Orchestra and Chorus),Something Barked on Christmas Morning (Ricky Zahnd and The Blue Jeaners with Tony Mottola Orchestra),"March of the Christmas Toys (Jose Ferrer with The Quartones, Orchestra Directed by Sid Fellers)",Jingle Bells (Jerry Wayne with Orchestra),Good King Wenceslas (Jerry Wayne with Orchestra),,,,,,,,,,,,,,,,,,,
01813-00001,Bonnie and the Failures,M'Lady Hundson's Puffe,LP,del,mp3,,,12/16/2014,,,Where the bee sucks,Entracte ??? Ibert,It fell on a Summers Day (wedding processional),Salterello (recessional),M'Lady Hundsdon's Puffe,Ms Nichol's Almand,Flesh Failures / Let the sun shine in,Bo Jangles,,,,,,,,,,,,,,,,,,,,
01813-00002,Bonnie and the Failures,Vol. II,LP,del,mp3,,,12/16/2014,,,Sonata for Flute,La Volta,"Now, O Now I Needs Must Part",The Cobbler,When to Her Lute Corinna Sings,English Dance,Simple Gifts,Our House,Colors,For Baby,Wedding Song,Two Bourrees,Kalenda Maya,April,,,,,,,,,,,,,,
01565-00001,Bellport High School Jazz Rock Ensemble,Bellport High School Jazz Rock Ensemble,LP,del,mp3,,,12/16/2014,,,Prologue,Smokin',You're No Good,Saturday In the Park,Sweet Home Alabama,Midnite Cruiser,Takin' It to the Streets,Another Cruel Love,Down in the Flood,Take It to the Limit,,,,,,,,,,,,,,,,,,
01565-00002,Bellport High School Jazz Rock Ensemble,Bellport High School Jazz Rock Ensemble,LP,del,mp3,01565-00001,,12/16/2014,,,Peace of Mind,Magic Man,When Will I Be Loved,Walk This Way,Wheels of Fortune,Reelin' In the Years,Victim of Love,Do You Feel Like We Do,Never Wanting More,,,,,,,,,,,,,,,,,,,
01565-00003,Bellport High School Jazz Rock Ensemble,Bellport High School Jazz Rock Ensemble,LP,del,mp3,01565-00001,,12/16/2014,,,Til Colors Fade,Rockin' Me Baby,Here I Go Again,Take Me Inside Your Dream,I Just Want To Celebrate,Warm Ways,Say You Love Me,Freebird,,,,,,,,,,,,,,,,,,,,
01812-00001,Bellport High School Jazz Rock Ensemble,Bellport High School Jazz Rock Ensemble,LP,del,CD,01565-00001,,12/16/2014,,,Prologue,Smokin',You're No Good,Saturday In the Park,Sweet Home Alabama,Midnite Cruiser,Takin' It to the Streets,Another Cruel Love,Down in the Flood,Take It to the Limit,,,,,,,,,,,,,,,,,,
01812-00002,Bellport High School Jazz Rock Ensemble,Bellport High School Jazz Rock Ensemble,LP,del,CD,01565-00001,,12/16/2014,,,Peace of Mind,Magic Man,When Will I Be Loved,Walk This Way,Wheels of Fortune,Reelin' In the Years,Victim of Love,Do You Feel Like We Do,Never Wanting More,,,,,,,,,,,,,,,,,,,
01812-00003,Bellport High School Jazz Rock Ensemble,Bellport High School Jazz Rock Ensemble,LP,del,CD,01565-00001,,12/16/2014,,,Til Colors Fade,Rockin' Me Baby,Here I Go Again,Take Me Inside Your Dream,I Just Want To Celebrate,Warm Ways,Say You Love Me,Freebird,,,,,,,,,,,,,,,,,,,,
01948-00001,Stillwater High School Choir,On Broadway... Off Broadway...,LP,del,CD,,2,12/16/2014,,,This Old Hammer,Waltzing Matilda,I Hear a Voice a Prayin',Concert Choir: Maria,Vagabonds: Song of the Vagabonds,Thoroughly Modern Millie,If I Had My Way,There Is Nothing Like a Dame,Male Chorus: Drill Ye Tarriers Drill,Matchmaker,Female Chorus: Sunrise Sunset,MTA,The Cat,,,,,,,,,,,,,,,
01948-00002,,Hodie Christus Natus Est (Today Christ Is Born),LP,del,CD,,2,12/16/2014,,,Hodie Christus Natus Est (Palestrina),Hodie Christus Natus Est (Willan),Lord Hosanna in the Highest,How Far is it to Bethlehem,When Christ Was Born,Glory to God in the Highest,Hodie Christus Natus Est (Sweelinck),A Son in Born of Mary,All Were There,Carol of the Drum,"Still, Still, Still",O Little Town of Bethlehem,The Holly and the Ivy,Joy to the World,,,,,,,,,,,,,,
01948-00003,,Hootenanny '68,LP,del,CD,,2,12/16/2014,,,B Chorus: Blowin' in the Wind,B Chorus: The Hammer Song,Combined Choruses: Americana,Combined Choruses: Wimoweh,Combined Choruses: Down the Ohio,"Kent Jackson, Mark Slope: Wreck of the John B",Girls Chorus: Will He Remember,Vagabonds: The Banjo,Vagabonds: Eddystone Light,"Concert Choir: Weep, O Willow",Concert Choir: I Know Where I'm Goin',,,,,,,,,,,,,,,,,
01948-00004,,SHS Spring Concert Nineteen Sixty-Nine Directed by Dennis Brown,LP,del,CD,,2,12/16/2014,,,Cantate Domino,Prayers of Steel,O Give Thanks Unto the Lord,Time and Space,All Day I Hear,April,A Jubilant Song,Our Father,The Last Words of David,"Up, Up and Away",The Impossible Dream,,,,,,,,,,,,,,,,,
01948-00005,Stillwater High School Christmas Festival Directed by Denis Brown,Glory to God in the Highest,LP,del,CD,,2,12/16/2014,,,Concert Choir: Wolcum Yole,Concert Choir: This Little Babe,Concert Choir: O Magnum Mysterium,Concert Choir: Ave Maria,Vagabonds: Here Are We in Bethlehem (Solo: Chris Strutt),Vagabonds: Glory to God in the Highest,"Vagabonds: Sing Ye, Sing Noel",B Chorus: Gloria In Excelsis Deo,Combined Choirs and Band: Glory to God in the Highest (Pt. 1),Combined Choirs and Band: Glory to God in the Highest (Pt. 2),Combined Choirs and Band: Salvation is Created,B Chorus: Song of Mary (Magnificat),Girls Choir: Do You Hear What I Hear,,,,,,,,,,,,,,,
